samplename,description,batch,phenotype,sex,variant_regions
HI.3550.004.RPI3.R4217_R1,R4217,R4217,,,
HI.3550.004.RPI1.R4215_R1,R4215,R4215,,,
HI.3550.004.RPI4.R4218_R1,R4218,R4218,,,
HI.3550.004.RPI2.R4216_R1,R4216,R4216,,,
HI.3550.004.RPI6.R4220_R1,R4220,R4220,,,
HI.3550.004.RPI5.R4219_R1,R4219,R4219,,,
HI.3550.005.RPI41.R4228_R1,R4228,R4228,,,
HI.3550.005.RPI7.R4226_R1,R4226,R4226,,,
HI.3550.005.RPI43.R4230_R1,R4230,R4230,,,
HI.3550.005.RPI42.R4229_R1,R4229,R4229,,,
HI.3550.005.RPI8.R4227_R1,R4227,R4227,,,
HI.3550.005.RPI44.R4231_R1,R4231,R4231,,,
