ensembl_gene_id,external_gene_name
ENSG00000094914,AAAS
ENSG00000090861,AARS
ENSG00000124608,AARS2
ENSG00000144452,ABCA12
ENSG00000167972,ABCA3
ENSG00000198691,ABCA4
ENSG00000073734,ABCB11
ENSG00000005471,ABCB4
ENSG00000091262,ABCC6
ENSG00000006071,ABCC8
ENSG00000069431,ABCC9
ENSG00000101986,ABCD1
ENSG00000117528,ABCD3
ENSG00000119688,ABCD4
ENSG00000151498,ACAD8
ENSG00000177646,ACAD9
ENSG00000117054,ACADM
ENSG00000122971,ACADS
ENSG00000196177,ACADSB
ENSG00000072778,ACADVL
ENSG00000075239,ACAT1
ENSG00000159640,ACE
ENSG00000161533,ACOX1
ENSG00000176715,ACSF3
ENSG00000143632,ACTA1
ENSG00000075624,ACTB
ENSG00000184009,ACTG1
ENSG00000163017,ACTG2
ENSG00000072110,ACTN1
ENSG00000130402,ACTN4
ENSG00000115170,ACVR1
ENSG00000139567,ACVRL1
ENSG00000196839,ADA
ENSG00000160323,ADAMTS13
ENSG00000087116,ADAMTS2
ENSG00000197859,ADAMTSL2
ENSG00000160710,ADAR
ENSG00000148700,ADD3
ENSG00000205336,ADGRG1
ENSG00000164199,ADGRV1
ENSG00000156110,ADK
ENSG00000141385,AFG3L2
ENSG00000038002,AGA
ENSG00000006530,AGK
ENSG00000162688,AGL
ENSG00000018510,AGPS
ENSG00000188157,AGRN
ENSG00000135744,AGT
ENSG00000144891,AGTR1
ENSG00000172482,AGXT
ENSG00000135541,AHI1
ENSG00000156709,AIFM1
ENSG00000160224,AIRE
ENSG00000122787,AKR1D1
ENSG00000158578,ALAS2
ENSG00000163631,ALB
ENSG00000059573,ALDH18A1
ENSG00000072210,ALDH3A2
ENSG00000112294,ALDH5A1
ENSG00000164904,ALDH7A1
ENSG00000136872,ALDOB
ENSG00000033011,ALG1
ENSG00000182858,ALG12
ENSG00000214160,ALG3
ENSG00000088035,ALG6
ENSG00000159063,ALG8
ENSG00000086848,ALG9
ENSG00000116127,ALMS1
ENSG00000179477,ALOX12B
ENSG00000179148,ALOXE3
ENSG00000162551,ALPL
ENSG00000003393,ALS2
ENSG00000052850,ALX4
ENSG00000125363,AMELX
ENSG00000166126,AMN
ENSG00000145020,AMT
ENSG00000029534,ANK1
ENSG00000154122,ANKH
ENSG00000107890,ANKRD26
ENSG00000163297,ANTXR2
ENSG00000132842,AP3B1
ENSG00000103723,AP3B2
ENSG00000221838,AP4M1
ENSG00000134982,APC
ENSG00000084674,APOB
ENSG00000256053,APOPT1
ENSG00000137074,APTX
ENSG00000169083,AR
ENSG00000124198,ARFGEF2
ENSG00000118520,ARG1
ENSG00000198844,ARHGEF15
ENSG00000049618,ARID1B
ENSG00000169126,ARMC4
ENSG00000130429,ARPC1B
ENSG00000157399,ARSE
ENSG00000004848,ARX
ENSG00000104763,ASAH1
ENSG00000126522,ASL
ENSG00000108381,ASPA
ENSG00000130707,ASS1
ENSG00000149311,ATM
ENSG00000018625,ATP1A2
ENSG00000196296,ATP2A1
ENSG00000152234,ATP5F1A
ENSG00000124172,ATP5F1E
ENSG00000185344,ATP6V0A2
ENSG00000116039,ATP6V1B1
ENSG00000165240,ATP7A
ENSG00000081923,ATP8B1
ENSG00000171953,ATPAF2
ENSG00000175054,ATR
ENSG00000085224,ATRX
ENSG00000148090,AUH
ENSG00000126895,AVPR2
ENSG00000162885,B3GALNT2
ENSG00000187676,B3GLCT
ENSG00000086062,B4GALT1
ENSG00000174684,B4GAT1
ENSG00000136881,BAAT
ENSG00000174483,BBS1
ENSG00000179941,BBS10
ENSG00000181004,BBS12
ENSG00000125124,BBS2
ENSG00000140463,BBS4
ENSG00000163093,BBS5
ENSG00000138686,BBS7
ENSG00000122507,BBS9
ENSG00000248098,BCKDHA
ENSG00000083123,BCKDHB
ENSG00000127152,BCL11B
ENSG00000074582,BCS1L
ENSG00000185963,BICD2
ENSG00000136717,BIN1
ENSG00000197299,BLM
ENSG00000107779,BMPR1A
ENSG00000163170,BOLA3
ENSG00000157764,BRAF
ENSG00000139618,BRCA2
ENSG00000168000,BSCL2
ENSG00000162399,BSND
ENSG00000169814,BTD
ENSG00000010671,BTK
ENSG00000130921,C12orf65
ENSG00000108561,C1QBP
ENSG00000104267,CA2
ENSG00000174990,CA5A
ENSG00000141837,CACNA1A
ENSG00000102001,CACNA1F
ENSG00000007402,CACNA2D2
ENSG00000084774,CAD
ENSG00000171302,CANT1
ENSG00000092529,CAPN3
ENSG00000134905,CARS2
ENSG00000147044,CASK
ENSG00000118729,CASQ2
ENSG00000182533,CAV3
ENSG00000177469,CAVIN1
ENSG00000110395,CBL
ENSG00000160200,CBS
ENSG00000048342,CC2D2A
ENSG00000183287,CCBE1
ENSG00000145075,CCDC39
ENSG00000141519,CCDC40
ENSG00000162004,CCDC78
ENSG00000262919,CCNQ
ENSG00000198821,CD247
ENSG00000167775,CD320
ENSG00000167286,CD3D
ENSG00000198851,CD3E
ENSG00000160654,CD3G
ENSG00000102245,CD40LG
ENSG00000125726,CD70
ENSG00000153283,CD96
ENSG00000140326,CDAN1
ENSG00000185324,CDK10
ENSG00000008086,CDKL5
ENSG00000129757,CDKN1C
ENSG00000204539,CDSN
ENSG00000103995,CEP152
ENSG00000198707,CEP290
ENSG00000138180,CEP55
ENSG00000165410,CFL2
ENSG00000126759,CFP
ENSG00000001626,CFTR
ENSG00000070748,CHAT
ENSG00000153922,CHD1
ENSG00000173575,CHD2
ENSG00000171316,CHD7
ENSG00000100288,CHKB
ENSG00000138435,CHRNA1
ENSG00000135902,CHRND
ENSG00000108556,CHRNE
ENSG00000196811,CHRNG
ENSG00000171365,CLCN5
ENSG00000163347,CLDN1
ENSG00000164007,CLDN19
ENSG00000188603,CLN3
ENSG00000102805,CLN5
ENSG00000128973,CLN6
ENSG00000182372,CLN8
ENSG00000170289,CNGB3
ENSG00000018236,CNTN1
ENSG00000183978,COA3
ENSG00000183513,COA5
ENSG00000168275,COA6
ENSG00000162377,COA7
ENSG00000166685,COG1
ENSG00000168434,COG7
ENSG00000213380,COG8
ENSG00000060718,COL11A1
ENSG00000204248,COL11A2
ENSG00000111799,COL12A1
ENSG00000065618,COL17A1
ENSG00000108821,COL1A1
ENSG00000164692,COL1A2
ENSG00000139219,COL2A1
ENSG00000168542,COL3A1
ENSG00000187498,COL4A1
