ensembl_gene_id,external_gene_name
ENSG00000124608,AARS2
ENSG00000008311,AASS
ENSG00000183044,ABAT
ENSG00000115657,ABCB6
ENSG00000131269,ABCB7
ENSG00000101986,ABCD1
ENSG00000117528,ABCD3
ENSG00000132142,ACACA
ENSG00000076555,ACACB
ENSG00000151498,ACAD8
ENSG00000177646,ACAD9
ENSG00000115361,ACADL
ENSG00000117054,ACADM
ENSG00000122971,ACADS
ENSG00000196177,ACADSB
ENSG00000072778,ACADVL
ENSG00000075239,ACAT1
ENSG00000120437,ACAT2
ENSG00000131473,ACLY
ENSG00000100412,ACO2
ENSG00000068366,ACSL4
ENSG00000197142,ACSL5
ENSG00000005187,ACSM3
ENSG00000163050,ADCK3
ENSG00000239900,ADSL
ENSG00000141385,AFG3L2
ENSG00000006530,AGK
ENSG00000162688,AGL
ENSG00000018510,AGPS
ENSG00000172482,AGXT
ENSG00000113492,AGXT2
ENSG00000156709,AIFM1
ENSG00000004455,AK2
ENSG00000108599,AKAP10
ENSG00000053371,AKR7A2
ENSG00000158578,ALAS2
ENSG00000059573,ALDH18A1
ENSG00000137124,ALDH1B1
ENSG00000111275,ALDH2
ENSG00000072210,ALDH3A2
ENSG00000159423,ALDH4A1
ENSG00000112294,ALDH5A1
ENSG00000119711,ALDH6A1
ENSG00000164904,ALDH7A1
ENSG00000242110,AMACR
ENSG00000116748,AMPD1
ENSG00000145020,AMT
ENSG00000107890,ANKRD26
ENSG00000137074,APTX
ENSG00000118520,ARG1
ENSG00000214435,AS3MT
ENSG00000138363,ATIC
ENSG00000145246,ATP10D
ENSG00000152234,ATP5A1
ENSG00000124172,ATP5E
ENSG00000171953,ATPAF2
ENSG00000148090,AUH
ENSG00000087088,BAX
ENSG00000060982,BCAT1
ENSG00000105552,BCAT2
ENSG00000248098,BCKDHA
ENSG00000083123,BCKDHB
ENSG00000171791,BCL2
ENSG00000074582,BCS1L
ENSG00000163170,BOLA3
ENSG00000169814,BTD
ENSG00000130921,C12orf65
ENSG00000064012,CASP8
ENSG00000070748,CHAT
ENSG00000016391,CHDH
ENSG00000145354,CISD2
ENSG00000125246,CLYBL
ENSG00000183513,COA5
ENSG00000093010,COMT
ENSG00000173085,COQ2
ENSG00000167113,COQ4
ENSG00000110871,COQ5
ENSG00000119723,COQ6
ENSG00000167186,COQ7
ENSG00000088682,COQ9
ENSG00000006695,COX10
ENSG00000178449,COX14
ENSG00000014919,COX15
ENSG00000203667,COX20
ENSG00000131143,COX4I1
ENSG00000131055,COX4I2
ENSG00000126267,COX6B1
ENSG00000161281,COX7A1
ENSG00000112695,COX7A2
ENSG00000080819,CPOX
ENSG00000021826,CPS1
ENSG00000110090,CPT1A
ENSG00000205560,CPT1B
ENSG00000157184,CPT2
ENSG00000172115,CYCS
ENSG00000140459,CYP11A1
ENSG00000160882,CYP11B1
ENSG00000179142,CYP11B2
ENSG00000019186,CYP24A1
ENSG00000135929,CYP27A1
ENSG00000111012,CYP27B1
ENSG00000117593,DARS2
ENSG00000137992,DBT
ENSG00000153904,DDAH1
ENSG00000104325,DECR1
ENSG00000114956,DGUOK
ENSG00000102967,DHODH
ENSG00000184047,DIABLO
ENSG00000150768,DLAT
ENSG00000091140,DLD
ENSG00000132837,DMGDH
ENSG00000138346,DNA2
ENSG00000205981,DNAJC19
ENSG00000087470,DNM1L
ENSG00000103356,EARS2
ENSG00000130159,ECSIT
ENSG00000006744,ELAC2
ENSG00000049540,ELN
ENSG00000140374,ETFA
ENSG00000105379,ETFB
ENSG00000171503,ETFDH
ENSG00000105755,ETHE1
ENSG00000145982,FARS2
ENSG00000169710,FASN
ENSG00000118246,FASTKD2
ENSG00000165140,FBP1
ENSG00000112234,FBXL4
ENSG00000066926,FECH
ENSG00000091483,FH
ENSG00000110074,FOXRED1
ENSG00000136877,FPGS
ENSG00000167996,FTH1
ENSG00000165060,FXN
ENSG00000131482,G6PC
ENSG00000171298,GAA
ENSG00000054983,GALC
ENSG00000106105,GARS
ENSG00000171766,GATM
ENSG00000114480,GBE1
ENSG00000105607,GCDH
ENSG00000127554,GFER
ENSG00000168827,GFM1
ENSG00000164347,GFM2
ENSG00000198814,GK
ENSG00000178445,GLDC
ENSG00000182512,GLRX5
ENSG00000115419,GLS
ENSG00000148672,GLUD1
ENSG00000168237,GLYCTK
ENSG00000119927,GPAM
ENSG00000167588,GPD1
ENSG00000115159,GPD2
ENSG00000233276,GPX1
ENSG00000167468,GPX4
ENSG00000104687,GSR
ENSG00000197448,GSTK1
ENSG00000104812,GYS1
ENSG00000111713,GYS2
ENSG00000138796,HADH
ENSG00000084754,HADHA
ENSG00000138029,HADHB
ENSG00000112855,HARS2
ENSG00000004961,HCCS
ENSG00000198130,HIBCH
ENSG00000146066,HIGD2A
ENSG00000156515,HK1
ENSG00000159399,HK2
ENSG00000159267,HLCS
ENSG00000117305,HMGCL
ENSG00000134240,HMGCS2
ENSG00000072506,HSD17B10
ENSG00000133835,HSD17B4
ENSG00000203857,HSD3B1
ENSG00000113013,HSPA9
ENSG00000173641,HSPB7
ENSG00000144381,HSPD1
ENSG00000115317,HTRA2
ENSG00000119912,IDE
ENSG00000138413,IDH1
ENSG00000182054,IDH2
ENSG00000101365,IDH3B
ENSG00000184903,IMMP2L
ENSG00000132305,IMMT
ENSG00000136003,ISCU
ENSG00000128928,IVD
ENSG00000065427,KARS
ENSG00000054523,KIF1B
ENSG00000186081,KRT5
ENSG00000115919,KYNU
ENSG00000087299,L2HGDH
ENSG00000133706,LARS
ENSG00000011376,LARS2
ENSG00000134333,LDHA
ENSG00000111716,LDHB
ENSG00000168924,LETM1
ENSG00000121897,LIAS
ENSG00000168216,LMBRD1
ENSG00000134324,LPIN1
ENSG00000138095,LRPPRC
ENSG00000189221,MAOA
ENSG00000069535,MAOB
ENSG00000247626,MARS2
ENSG00000078070,MCCC1
ENSG00000131844,MCCC2
ENSG00000124370,MCEE
ENSG00000014641,MDH1
ENSG00000116688,MFN2
ENSG00000125871,MGME1
ENSG00000103150,MLYCD
ENSG00000151611,MMAA
ENSG00000139428,MMAB
