ensembl_gene_id,external_gene_name
ENSG00000143632,ACTA1
ENSG00000162688,AGL
ENSG00000188157,AGRN
ENSG00000172339,ALG14
ENSG00000119523,ALG2
ENSG00000171714,ANO5
ENSG00000196296,ATP2A1
ENSG00000162885,B3GALNT2
ENSG00000174684,B4GAT1
ENSG00000151929,BAG3
ENSG00000136717,BIN1
ENSG00000081248,CACNA1S
ENSG00000092529,CAPN3
ENSG00000182533,CAV3
ENSG00000162004,CCDC78
ENSG00000165410,CFL2
ENSG00000070748,CHAT
ENSG00000100288,CHKB
ENSG00000138435,CHRNA1
ENSG00000170175,CHRNB1
ENSG00000135902,CHRND
ENSG00000108556,CHRNE
ENSG00000196811,CHRNG
ENSG00000188037,CLCN1
ENSG00000111799,COL12A1
ENSG00000197467,COL13A1
ENSG00000142156,COL6A1
ENSG00000142173,COL6A2
ENSG00000163359,COL6A3
ENSG00000206561,COLQ
ENSG00000157184,CPT2
ENSG00000109846,CRYAB
ENSG00000175084,DES
ENSG00000198947,DMD
ENSG00000105993,DNAJB6
ENSG00000079805,DNM2
ENSG00000175920,DOK7
ENSG00000172269,DPAGT1
ENSG00000000419,DPM1
ENSG00000136908,DPM2
ENSG00000135636,DYSF
ENSG00000102119,EMD
ENSG00000022267,FHL1
ENSG00000181027,FKRP
ENSG00000106692,FKTN
ENSG00000128591,FLNC
ENSG00000171298,GAA
ENSG00000114480,GBE1
ENSG00000198380,GFPT1
ENSG00000173540,GMPPB
ENSG00000159921,GNE
ENSG00000135486,HNRNPA1
ENSG00000122566,HNRNPA2B1
ENSG00000152795,HNRNPDL
ENSG00000136003,ISCU
ENSG00000214960,ISPD
ENSG00000135424,ITGA7
ENSG00000234438,KBTBD13
ENSG00000157119,KLHL40
ENSG00000239474,KLHL41
ENSG00000198642,KLHL9
ENSG00000196569,LAMA2
ENSG00000005893,LAMP2
ENSG00000133424,LARGE1
ENSG00000122367,LDB3
ENSG00000072163,LIMS2
ENSG00000160789,LMNA
ENSG00000163380,LMOD3
ENSG00000015479,MATR3
ENSG00000145794,MEGF10
ENSG00000107745,MICU1
ENSG00000171100,MTM1
ENSG00000030304,MUSK
ENSG00000125414,MYH2
ENSG00000109063,MYH3
ENSG00000092054,MYH7
ENSG00000120729,MYOT
ENSG00000138347,MYPN
ENSG00000183091,NEB
ENSG00000152556,PFKM
ENSG00000178209,PLEC
ENSG00000177666,PNPLA2
ENSG00000085998,POMGNT1
ENSG00000144647,POMGNT2
ENSG00000185900,POMK
ENSG00000130714,POMT1
ENSG00000009830,POMT2
ENSG00000177469,PTRF
ENSG00000068976,PYGM
ENSG00000165917,RAPSN
ENSG00000196218,RYR1
ENSG00000007314,SCN4A
ENSG00000162430,SELENON
ENSG00000108823,SGCA
ENSG00000163069,SGCB
ENSG00000170624,SGCD
ENSG00000102683,SGCG
ENSG00000120725,SIL1
ENSG00000101596,SMCHD1
ENSG00000161011,SQSTM1
ENSG00000185482,STAC3
ENSG00000167323,STIM1
ENSG00000131018,SYNE1
ENSG00000143858,SYT2
ENSG00000173991,TCAP
ENSG00000116001,TIA1
ENSG00000170876,TMEM43
ENSG00000118600,TMEM5
ENSG00000130598,TNNI2
ENSG00000105048,TNNT1
ENSG00000064419,TNPO3
ENSG00000198467,TPM2
ENSG00000143549,TPM3
ENSG00000168538,TRAPPC11
ENSG00000119401,TRIM32
ENSG00000155657,TTN
ENSG00000165280,VCP
ENSG00000160131,VMA21
