ensembl_gene_id,external_gene_name
ENSG00000196839,ADA
ENSG00000004455,AK2
ENSG00000132842,AP3B1
ENSG00000149311,ATM
ENSG00000197299,BLM
ENSG00000095585,BLNK
ENSG00000010671,BTK
ENSG00000198286,CARD11
ENSG00000198821,CD247
ENSG00000139193,CD27
ENSG00000167286,CD3D
ENSG00000198851,CD3E
ENSG00000160654,CD3G
ENSG00000105369,CD79A
ENSG00000007312,CD79B
ENSG00000153563,CD8A
ENSG00000171316,CHD7
ENSG00000179583,CIITA
ENSG00000102879,CORO1A
ENSG00000163599,CTLA4
ENSG00000152457,DCLRE1C
ENSG00000107099,DOCK8
ENSG00000164330,EBF1
ENSG00000109101,FOXN1
ENSG00000049768,FOXP3
ENSG00000179348,GATA2
ENSG00000211899,IGHM
ENSG00000128322,IGLL1
ENSG00000104365,IKBKB
ENSG00000073009,IKBKG
ENSG00000185811,IKZF1
ENSG00000134460,IL2RA
ENSG00000147168,IL2RG
ENSG00000168685,IL7R
ENSG00000113263,ITK
ENSG00000105639,JAK3
ENSG00000182866,LCK
ENSG00000174405,LIG4
ENSG00000136802,LRRC8A
ENSG00000143669,LYST
ENSG00000102158,MAGT1
ENSG00000172175,MALT1
ENSG00000020922,MRE11
ENSG00000104320,NBN
ENSG00000100906,NFKBIA
ENSG00000187736,NHEJ1
ENSG00000182500,ORAI1
ENSG00000145675,PIK3R1
ENSG00000198805,PNP
ENSG00000180644,PRF1
ENSG00000253729,PRKDC
ENSG00000081237,PTPRC
ENSG00000069974,RAB27A
ENSG00000128340,RAC2
ENSG00000166349,RAG1
ENSG00000175097,RAG2
ENSG00000104856,RELB
ENSG00000143390,RFX5
ENSG00000064490,RFXANK
ENSG00000133111,RFXAP
ENSG00000269900,RMRP
ENSG00000183918,SH2D1A
ENSG00000135899,SP110
ENSG00000115415,STAT1
ENSG00000168610,STAT3
ENSG00000173757,STAT5B
ENSG00000167323,STIM1
ENSG00000101109,STK4
ENSG00000135604,STX11
ENSG00000076944,STXBP2
ENSG00000168394,TAP1
ENSG00000204267,TAP2
ENSG00000112493,TAPBP
ENSG00000184058,TBX1
ENSG00000229164,TRAC
ENSG00000068724,TTC7A
ENSG00000092929,UNC13D
ENSG00000101966,XIAP
ENSG00000115085,ZAP70
