ensembl_gene_id,external_gene_name
ENSG00000171456,ASXL1
ENSG00000143970,ASXL2
ENSG00000183337,BCOR
ENSG00000085185,BCORL1
ENSG00000157764,BRAF
ENSG00000185515,BRCC3
ENSG00000110395,CBL
ENSG00000114423,CBLB
ENSG00000245848,CEBPA
ENSG00000005339,CREBBP
ENSG00000182578,CSF1R
ENSG00000119535,CSF3R
ENSG00000102974,CTCF
ENSG00000257923,CUX1
ENSG00000119772,DNMT3A
ENSG00000074266,EED
ENSG00000100393,EP300
ENSG00000139163,ETNK1
ENSG00000139083,ETV6
ENSG00000106462,EZH2
ENSG00000122025,FLT3
ENSG00000102145,GATA1
ENSG00000179348,GATA2
ENSG00000107485,GATA3
ENSG00000120063,GNA13
ENSG00000087460,GNAS
ENSG00000078369,GNB1
ENSG00000138413,IDH1
ENSG00000182054,IDH2
ENSG00000185811,IKZF1
ENSG00000030419,IKZF2
ENSG00000161405,IKZF3
ENSG00000162434,JAK1
ENSG00000096968,JAK2
ENSG00000105639,JAK3
ENSG00000147050,KDM6A
ENSG00000157404,KIT
ENSG00000118058,KMT2A
ENSG00000272333,KMT2B
ENSG00000133703,KRAS
ENSG00000146963,LUC7L2
ENSG00000117400,MPL
ENSG00000196712,NF1
ENSG00000181163,NPM1
ENSG00000213281,NRAS
ENSG00000083642,PDS5B
ENSG00000164494,PDSS2
ENSG00000156531,PHF6
ENSG00000146247,PHIP
ENSG00000170836,PPM1D
ENSG00000110844,PRPF40B
ENSG00000174231,PRPF8
ENSG00000171862,PTEN
ENSG00000179295,PTPN11
ENSG00000164754,RAD21
ENSG00000159216,RUNX1
ENSG00000152217,SETBP1
ENSG00000181555,SETD2
ENSG00000143379,SETDB1
ENSG00000168066,SF1
ENSG00000099995,SF3A1
ENSG00000115524,SF3B1
ENSG00000072501,SMC1A
ENSG00000108055,SMC3
ENSG00000161547,SRSF2
ENSG00000118007,STAG1
ENSG00000101972,STAG2
ENSG00000178691,SUZ12
ENSG00000168769,TET2
ENSG00000141510,TP53
ENSG00000160201,U2AF1
ENSG00000063244,U2AF2
ENSG00000184937,WT1
ENSG00000169249,ZRSR2
