"PanelAPP.Gene.Symbol","PanelAPP.Model_Of_Inheritance","PanelAPP.Phenotypes","PanelAPP.UserRatings_Green_amber_red","PanelAPP.EnsemblId.GRch37"
"APOA1","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Amyloidosis 105200","100;0;0","ENSG00000118137"
"APOA2","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Amyloidosis","100;0;0","ENSG00000158874"
"ELANE","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Hereditary Periodic Fever Syndromes; Neutropenia, cyclic, 162800; Recurring fever and malaise","0;0;0","ENSG00000197561"
"FGA","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Amyloidosis, familial visceral 105200","100;0;0","ENSG00000171560"
"GSN","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Amyloidosis; Amyloidosis, Finnish type, 105120","100;0;0","ENSG00000148180"
"IL1RN","BIALLELIC, autosomal or pseudoautosomal","Interleukin 1 receptor antagonist deficiency,  612852; OMPP; DIRA syndrome; recurrent fever","0;0;0","ENSG00000136689"
"IL36RN","BIALLELIC, autosomal or pseudoautosomal","Psoriasis 14, pustular,  614204; DITRA; recurrent flares of pustular rash with fever","0;0;0","ENSG00000136695"
"LPIN2","BIALLELIC, autosomal or pseudoautosomal","Hereditary Periodic Fever Syndromes; Majeed syndrome, 609628","0;0;0","ENSG00000101577"
"LYZ","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Amyloidosis, renal, 105200; Familial Visceral Amyloidosis","100;0;0","ENSG00000090382"
"MEFV","BOTH monoallelic and biallelic, autosomal or pseudoautosomal","Hereditary Periodic Fever Syndromes; Familial Mediterranean Fever; Familial Mediterranean fever, AD, 134610; Familial Mediterranean fever, AR, 249100","100;0;0","ENSG00000103313"
"MVK","BIALLELIC, autosomal or pseudoautosomal","Hereditary Periodic Fever Syndromes; Mevalonate kinase deficiency; Hyper-IgD syndrome, 260920; Mevalonic aciduria, 610377","100;0;0","ENSG00000110921"
"NLRP12","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Familial cold autoinflammatory syndrome 2; 611762","0;0;0","ENSG00000142405"
"NLRP3","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Hereditary Periodic Fever Syndromes; CINCA syndrome (NOMID), 607115; Familial cold-induced inflammatory syndrome 1 (FCAS), 120100; Muckle-Wells syndrome (MWS), 191900","100;0;0","ENSG00000162711"
"NOD2","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Blau syndrome, 186580","100;0;0","ENSG00000167207"
"OSMR","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Amyloidosis, primary localized cutaneous, 1, 105250","100;0;0","ENSG00000145623"
"OTULIN","BIALLELIC, autosomal or pseudoautosomal","Autoinflammation, panniculitis, and dermatosis syndrome (AIPDS) (617099);Otulin-related autoinflammatry syndrome (ORAS)","100;0;0","ENSG00000154124"
"PSMB8","BIALLELIC, autosomal or pseudoautosomal","Autoinflammation, lipodystrophy, and dermatosis syndrome 256040 (Joint contractures, muscle atrophy, microcytic anemia, and panniculitis-induced lipodystrophy (JMP syndrome) and chronic atypical neutrophilic dermatosis with lipodystrophy and elevated temperature (CANDLE syndrome))","100;0;0","ENSG00000204264"
"PSTPIP1","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Hereditary Periodic Fever Syndromes; PAPA syndrome; Pyogenic sterile arthritis, pyoderma gangrenosum, and acne, 604416","0;0;0","ENSG00000140368"
"TNFRSF1A","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Hereditary Periodic Fever Syndromes; Periodic fever, familial, 142680","100;0;0","ENSG00000067182"
"TTR","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Amyloidosis, Hereditary, Transthyretin-Related, 105210; Familial Transthyretin Amyloidosis ","100;0;0","ENSG00000118271"
"APOC2","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Amyloidosis;Hyperlipoproteinemia, type Ib	207750","0;100;0","ENSG00000234906"
"APOC3","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Amyloidosis","0;100;0","ENSG00000110245"
"TNFAIP3","MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown","Autoinflammatory syndrome, familial, Behcet-like; (AISBL) (616744)","100;0;0","ENSG00000118503"
"APP","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants   605714  ","0;0;0","ENSG00000142192"
"B2M","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","?Amyloidosis, familial visceral   105200  ","0;0;100","ENSG00000166710"
"CST3","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Cerebral amyloid angiopathy   105150  ","100;0;0","ENSG00000101439"
"HTR1A","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Periodic fever, menstrual cycle dependent, 614674","0;0;0","ENSG00000178394"
"IL31RA","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","Amyloidosis, primary localized cutaneous, 2, 613955","0;0;100","ENSG00000164509"
"NLRC4","MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted","?Familial cold autoinflammatory syndrome 4 616115;Autoinflammation with infantile enterocolitis 616050","0;0;100","ENSG00000091106"
"TRNT1","BIALLELIC, autosomal or pseudoautosomal","Sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay, 616084","0;0;0","ENSG00000072756"
