"PanelAPP.Gene.Symbol","PanelAPP.Model_Of_Inheritance","PanelAPP.Phenotypes","PanelAPP.UserRatings_Green_amber_red","PanelAPP.EnsemblId.GRch37"
"ACP5","BIALLELIC, autosomal or pseudoautosomal","Spondyloenchondrodysplasia with immune dysregulation Type 1 interferonopathies;Spondyloenchondrodysplasia with immune dysregulation, 607944;Type 1 interferonopathies;Short stature, SP, ICC, SLE, thrombocytopenia and autoimmune hemolytic anemia, possibly recurrent bacterial and viral infections;Autoinflammatory Disorders","100;0;0","ENSG00000102575"
"ADA","BIALLELIC, autosomal or pseudoautosomal","Severe combined immunodeficiency due to ADA deficiency (some mosiacism noted);Severe combined immunodeficiency due to ADA deficiency, 102700;T-B- SCID;T-B+ SCID;Adenosine deaminase (ADA) deficiency;Atypical Severe Combined Immunodeficiency (Atypical SCID);Omenn syndrome;Severe combined immunodeficiency (SCID);Low NK, bone defects, may have pulmonary alveolar proteinosis, cognitive defects;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000196839"
"ADA2","BIALLELIC, autosomal or pseudoautosomal","Polyarteritis nodosa;Polyarteritis nodosa, childhood-onset, 615688;ADA2 deficiency;Deficiency of ADA2 (DADA2);Other autoinflammatory diseases with known genetic defect;Fever with early onset stroke;combined immunodeficiency;Evans' syndrome;Polyarteritis nodosa, childhood-onset, early-onset recurrent ischemic stroke and fever;Autoinflammatory Disorders","100;0;0","ENSG00000093072"
"ADAR","BIALLELIC, autosomal or pseudoautosomal","Fever Syndromes and Related Diseases, Aicardi-Goutieres syndrome 6, 615010;AGS6;Type 1 interferonopathies;Classical AGS, BSN, SP;Autoinflammatory Disorders","100;0;0","ENSG00000160710"
"AICDA","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency with hyper-IgM, type 2;Hyper IgM syndrome with lymphoid hyperplasia;Immunodeficiency with hyper-IgM, type 2, 605258;Primary Immune Deficiencies;CSR defects and Hyper IgM (HIGM) syndromes;Bacterial infections, enlarged lymph nodes and germinal centers;Predominantly Antibody Deficiencies","100;0;0","ENSG00000111732"
"AIRE","BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal","Autoimmune polyendocrinopathy syndrome, type I, with or without reversible metaphyseal dysplasia, 240300;Chronic mucocutaneous candidiasis (CMC);Autoimmune polyendocrinopathy candidiasis ectodermal dystrophy (APECED);Autoimmune hypoparathyroidism chronic candidiasis Addison disease syndrome;Hypoparathyroidism Addison disease mucocutaneous candidiasis syndrome;Multiple endocrine deficiency Addison disease candidiasis syndrome;Autoimmunity: hypoparathyroidism hypothyroidism, adrenal insufficiency, diabetes, gonadal dysfunction and other endocrine abnormalities, chronic mucocutaneous candidiasis, dental enamel hypoplasia, alopecia areata enteropathy, pernicious anemia;Diseases of Immune Dysregulation","100;0;0","ENSG00000160224"
"AK2","BIALLELIC, autosomal or pseudoautosomal","Reticular dysgenesis with sensorineural deafness;Reticular dysgenesis, 267500;Reticular dysgenesis, AK2 deficiency;Reticular Dysgenesis AK2 (SCID);Granulocytopenia and deafness;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000004455"
"AP3B1","BIALLELIC, autosomal or pseudoautosomal","Hermansky-Pudlak syndrome 2;HPS2;Hermansky-Pudlak syndrome, 608233;Immunodeficient HPS;Hermansky-Pudlak syndrome with neutropenia;Partial albinism, recurrent infections, pulmonary fibrosis, increased bleeding, neutropenia, HLH;Diseases of Immune Dysregulation","100;0;0","ENSG00000132842"
"ARPC1B","BIALLELIC, autosomal or pseudoautosomal","Thrombocytopenia & Immune Deficiency;Platelet abnormalities with eosinophilia and immune-mediated inflammatory disease, 617718;inflammatory predisposition;Immunodeficiency with thrombocytopenia;Mild thrombocytopenia with normal sized platelets, recurrent invasive infections, colitis, vasculitis, autoantibodies (ANA, ANCA), eosinophilia, defective Arp2/3, filament branching;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000130429"
"ATM","BIALLELIC, autosomal or pseudoautosomal","Ataxia-telangiectasia, 208900;Ataxia telangiectasia (ATM);immunodeficiency;Ataxia, telangiectasia, pulmonary infections, lymphoreticular and other malignancies, increased alpha fetoprotein,  increased radiosensitivity, chromosomal instability and chromosomal translocations;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000149311"
"B2M","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency 43,241600;Immunodeficiency by defective expression of HLA class 1;Sinopulmonary infections, cutaneous granulomas. Absent _2m associated proteins MHC-I, CD1a, CD1b, CD1c;Immunodeficiencies affecting cellular and humoral immunity","100;0;0","ENSG00000166710"
"BLM","BIALLELIC, autosomal or pseudoautosomal","Bloom syndrome, 210900;Immunodeficiency;Short stature, dysmorphic facies, sun-sensitive erythema, marrow failure, leukemia, lymphoma, chromosomal instability;Combined immunodeficiencies with associated or syndromic features","100;0;0","ENSG00000197299"
"BLNK","BIALLELIC, autosomal or pseudoautosomal","Agammaglobulinemia 4, 613502;agammaglobulinaemia with absent B cells;Agammaglobulinemia 4;Agammaglobulinemia;Severe bacterial infections, normal numbers of pro-B cells;Predominantly Antibody Deficiencies","100;0;0","ENSG00000095585"
"BTK","X-LINKED: hemizygous mutation in males, biallelic mutations in females","Agammaglobulinemia and isolated hormone deficiency;Agammaglobulinemia, X-linked;Agammaglobulinemia, X-linked 1, 300755;Agammaglobulinemia and isolated hormone deficiency, 307200;Agammaglobulinemia, X-linked 1 (XLA);Agammaglobulinemia;agammaglobulinaemia;CVID;Severe bacterial infections, normal numbers of pro-B cells;Predominantly Antibody Deficiencies","100;0;0","ENSG00000010671"
"C1QA","BIALLELIC, autosomal or pseudoautosomal","C1q deficiency, 613652;Complement component 1 deficiency;Immunodeficiency due to a classical component pathway complement deficiency;SLE, infections with encapsulated organisms;Complement Deficiencies","100;0;0","ENSG00000173372"
"C1QB","BIALLELIC, autosomal or pseudoautosomal","Immunodeficiency due to an early component of complement deficiency, 613652;C1q deficiency;Complement component 1 deficiency;SLE;lupus-like disease;susceptibility to invasive bacterial infection;SLE, infections with encapsulated organisms;Complement Deficiencies","100;0;0","ENSG00000173369"
