samplename,description,batch,phenotype,sex,variant_regions
12T1R1.MPS12300453-E06.3550.3.single,12T1R1,batch1
12T1R2.MPS12300453-F06.3550.2.single,12T1R2,batch2
12T1R3.MPS12302114-F09.3550.3.single,12T1R3,batch3
12T2R1.MPS12302118-D10.3550.3.single,12T2R1,batch4
12T2R2.MPS12300453-H06.3550.3.single,12T2R2,batch5
12T2R3.MPS12302118-F10.3550.3.single,12T2R3,batch6
12T3R1.MPS12302118-G10.3550.3.single,12T3R1,batch7
12T3R2.MPS12302118-H10.3550.3.single,12T3R2,batch8
12T3R3.MPS12300333-A10.3550.2.single,12T3R3,batch9
12T4R1.MPS12300333-B10.3550.3.single,12T4R1,batch10
12T4R2.MPS12300333-C10.3550.2.single,12T4R2,batch11
12T4R3.MPS12300333-D10.3550.2.single,12T4R3,batch12
1T1R1.MPS12302118-A07.3550.2.single,1T1R1,batch13
1T1R2.MPS12300453-A06.3550.3.single,1T1R2,batch14
1T1R3.MPS12302118-C07.3550.2.single,1T1R3,batch15
1T2R1.MPS12302118-D07.3550.2.single,1T2R1,batch16
1T2R2.MPS12302118-E07.3550.2.single,1T2R2,batch17
1T2R3.MPS12302114-C09.3550.2.single,1T2R3,batch18
1T3R1.MPS12302118-G07.3550.2.single,1T3R1,batch19
1T3R2.MPS12302118-H07.3550.2.single,1T3R2,batch20
1T3R3.MPS12300333-A09.3550.3.single,1T3R3,batch21
1T4R2.MPS12300333-C09.3550.3.single,1T4R2,batch22
1T4R3.MPS12300333-D09.3550.3.single,1T4R3,batch23
6T1R1.MPS12302118-E08.3550.2.single,6T1R1,batch24
6T1R2.MPS12302118-F08.3550.2.single,6T1R2,batch25
6T1R3.MPS12302118-G08.3550.2.single,6T1R3,batch26
6T2R1.MPS12302118-H08.3550.2.single,6T2R1,batch27
6T2R2.MPS12302118-A09.3550.2.single,6T2R2,batch28
6T2R3.MPS12302118-B09.3550.2.single,6T2R3,batch29
6T3R1.MPS12302118-C09.3550.2.single,6T3R1,batch30
6T3R2.MPS12302118-D09.3550.3.single,6T3R2,batch31
6T3R3.MPS12300333-E09.3550.3.single,6T3R3,batch32
6T4R1.MPS12300333-F09.3550.3.single,6T4R1,batch33
6T4R2.MPS12302114-E09.3550.3.single,6T4R2,batch34
6T4R3.MPS12300333-H09.3550.3.single,6T4R3,batch35
