"ensembl_gene_id","external_gene_name","description"
"ENSMUSG00000031536","Polb","polymerase (DNA directed), beta [Source:MGI Symbol;Acc:MGI:97740]"
"ENSMUSG00000027950","Chrnb2","cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal) [Source:MGI Symbol;Acc:MGI:87891]"
"ENSMUSG00000036840","Siah1b","seven in absentia 1B [Source:MGI Symbol;Acc:MGI:108063]"
"ENSMUSG00000029413","Naaa","N-acylethanolamine acid amidase [Source:MGI Symbol;Acc:MGI:1914361]"
"ENSMUSG00000075144","Olfr1156","olfactory receptor 1156 [Source:MGI Symbol;Acc:MGI:3030990]"
"ENSMUSG00000070044","Fam149a","family with sequence similarity 149, member A [Source:MGI Symbol;Acc:MGI:2387177]"
"ENSMUSG00000072473","1700024G13Rik","RIKEN cDNA 1700024G13 gene [Source:MGI Symbol;Acc:MGI:1914335]"
"ENSMUSG00000047674","Pdha2","pyruvate dehydrogenase E1 alpha 2 [Source:MGI Symbol;Acc:MGI:97533]"
"ENSMUSG00000030319","Cand2","cullin-associated and neddylation-dissociated 2 (putative) [Source:MGI Symbol;Acc:MGI:1914338]"
"ENSMUSG00000061315","Naca","nascent polypeptide-associated complex alpha polypeptide [Source:MGI Symbol;Acc:MGI:106095]"
"ENSMUSG00000026394","Atp6v1g3","ATPase, H+ transporting, lysosomal V1 subunit G3 [Source:MGI Symbol;Acc:MGI:2450548]"
"ENSMUSG00000031927","1700012B09Rik","RIKEN cDNA 1700012B09 gene [Source:MGI Symbol;Acc:MGI:1916575]"
"ENSMUSG00000029263","Pigg","phosphatidylinositol glycan anchor biosynthesis, class G [Source:MGI Symbol;Acc:MGI:3576484]"
"ENSMUSG00000022935","Grik1","glutamate receptor, ionotropic, kainate 1 [Source:MGI Symbol;Acc:MGI:95814]"
"ENSMUSG00000041703","Zic5","zinc finger protein of the cerebellum 5 [Source:MGI Symbol;Acc:MGI:1929518]"
"ENSMUSG00000037334","H2-M1","histocompatibility 2, M region locus 1 [Source:MGI Symbol;Acc:MGI:95913]"
"ENSMUSG00000078253","Krtap16-1","keratin associated protein 16-1 [Source:MGI Symbol;Acc:MGI:3650326]"
"ENSMUSG00000032011","Thy1","thymus cell antigen 1, theta [Source:MGI Symbol;Acc:MGI:98747]"
"ENSMUSG00000025821","Zfp282","zinc finger protein 282 [Source:MGI Symbol;Acc:MGI:2141413]"
"ENSMUSG00000022889","Mrpl39","mitochondrial ribosomal protein L39 [Source:MGI Symbol;Acc:MGI:1351620]"
"ENSMUSG00000010608","Rbm25","RNA binding motif protein 25 [Source:MGI Symbol;Acc:MGI:1914289]"
